Géocode,Commune
5471,Bettens
5472,Bournens
5473,Boussens
5480,Daillens
5484,Gollion
5489,Mex (VD)
5495,Penthalaz
5496,Penthaz
5501,Sullens
5503,Vufflens-la-Ville
5511,Assens
5513,Bioley-Orjulaz
5514,Bottens
5515,Bretigny-sur-Morrens
5516,Cugy (VD)
5518,Echallens
5521,Etagnières
5522,Fey
5523,Froideville
5527,Morrens (VD)
5529,Oulens-sous-Echallens
5533,Poliez-Pittet
5535,Saint-Barthélemy (VD)
5537,Villars-le-Terroir
5540,Montilliez
5541,Goumoëns
5581,Belmont-sur-Lausanne
5582,Cheseaux-sur-Lausanne
5583,Crissier
5584,Epalinges
5585,Jouxtens-Mézery
5586,Lausanne
5587,Le Mont-sur-Lausanne
5588,Paudex
5589,Prilly
5590,Pully
5591,Renens (VD)
5592,Romanel-sur-Lausanne
5601,Chexbres
5604,Forel (Lavaux)
5606,Lutry
5607,Puidoux
5609,Rivaz
5610,Saint-Saphorin (Lavaux)
5611,Savigny
5613,Bourg-en-Lavaux
5621,Aclens
5622,Bremblens
5624,Bussigny-près-Lausanne
5627,Chavannes-près-Renens
5628,Chigny
5632,Denges
5633,Echandens
5634,Echichens
5635,Ecublens (VD)
5638,Lonay
5639,Lully (VD)
5642,Morges
5643,Préverenges
5645,Romanel-sur-Morges
5646,Saint-Prex
5648,Saint-Sulpice (VD)
5649,Tolochenaz
5650,Vaux-sur-Morges
5651,Villars-Sainte-Croix
5653,Vufflens-le-Château
5654,Vullierens
5662,Brenles
5664,Chapelle-sur-Moudon
5665,Chavannes-sur-Moudon
5673,Hermenches
5676,Martherenges
5678,Moudon
5682,Peyres-Possens
5684,Rossenges
5688,Syens
5692,Vucherens
5782,Carrouge (VD)
5785,Corcelles-le-Jorat
5788,Essertes
5789,Ferlens (VD)
5790,Maracon
5791,Mézières (VD)
5792,Montpreveyres
5798,Ropraz
5799,Servion
5803,Vulliens
5804,Jorat-Menthue
5805,Oron
5881,Blonay
5882,Chardonne
5883,Corseaux
5884,Corsier-sur-Vevey
5885,Jongny
5886,Montreux
5888,Saint-Légier-La Chiésaz
5889,La Tour-de-Peilz
5890,Vevey
